pathway	description	VDMT001-1	VDMT001-14	VDMT001-15	VDMT001-7	VDMT002-1	VDMT002-14	VDMT002-15	VDMT002-7	VDMT003-1	VDMT003-14	VDMT003-15	VDMT003-7	VDMT004-1	VDMT004-14	VDMT004-15	VDMT004-7	VDMT005-1	VDMT005-14	VDMT005-15	VDMT005-7	VDMT006-1	VDMT006-14	VDMT006-15	VDMT006-7	VDMT007-1	VDMT007-14	VDMT007-15	VDMT007-7	VDMT008-1	VDMT008-14	VDMT008-15	VDMT008-7	VDMT009-1	VDMT009-14	VDMT009-15	VDMT009-7	VDMT010-1	VDMT010-14	VDMT010-15	VDMT010-7	VDMT011-1	VDMT011-14	VDMT011-15	VDMT011-7	VDMT012-1	VDMT012-14	VDMT012-15	VDMT012-7	VDMT013-1	VDMT013-14	VDMT013-15	VDMT013-7	VDMT014-1	VDMT014-14	VDMT014-15	VDMT014-7	VDMT015-1	VDMT015-14	VDMT015-15	VDMT015-7	VDMT016-1	VDMT016-14	VDMT016-15	VDMT016-7	VDMT017-1	VDMT017-14	VDMT017-15	VDMT017-7	VDMT018-1	VDMT018-14	VDMT018-15	VDMT018-7	VDMT019-1	VDMT019-14	VDMT019-15	VDMT019-7	VDMT020-1	VDMT020-14	VDMT020-15	VDMT020-7	VDMT022-1	VDMT022-14	VDMT022-15	VDMT022-7	VDMT023-1	VDMT023-14	VDMT023-15	VDMT023-7	VDMT024-1	VDMT024-14	VDMT024-15	VDMT024-7	VDMT025-1	VDMT025-14	VDMT025-15	VDMT025-7	VDMT026-1	VDMT026-14	VDMT026-15	VDMT026-7	VDMT027-1	VDMT027-14	VDMT027-15	VDMT027-7	VDMT028-1	VDMT028-14	VDMT028-15	VDMT028-7	VDMT029-1	VDMT029-14	VDMT029-15	VDMT029-7	VDMT030-1	VDMT030-14	VDMT030-15	VDMT030-7	VDMT031-1	VDMT031-14	VDMT031-15	VDMT031-7	VDMT032-1	VDMT032-14	VDMT032-15	VDMT032-7	VDMT033-1	VDMT033-14	VDMT033-15	VDMT033-7	VDMT034-1	VDMT034-14	VDMT034-15	VDMT034-7	VDMT035-1	VDMT035-14	VDMT035-15	VDMT035-7	VDMT036-1	VDMT036-14	VDMT036-15	VDMT036-7	VDMT037-1	VDMT037-14	VDMT037-15	VDMT037-7	VDMT038-1	VDMT038-14	VDMT038-15	VDMT038-7	VDMT040-1	VDMT040-14	VDMT040-15	VDMT040-7	VDMT041-1	VDMT041-14	VDMT041-15	VDMT041-7	VDMT042-1	VDMT042-14	VDMT042-15	VDMT042-7	VDMT043-1	VDMT043-14	VDMT043-15	VDMT043-7	VDMT044-1	VDMT044-14	VDMT044-15	VDMT044-7
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	3440.5159	3149.2959	653.5296	11927.5377	1180.4834	426.158	820.3729	328.3125	370.7917	351.7821	274.6871	3268.2264	2356.7082	713.1801	591.6373	1383.3868	517.9524	315.8601	375.7663	675.5751	158.6607	1183.0839	1016.5174	1436.1038	1875.9513	1012.2014	798.1407	2118.1125	2091.2343	1315.6183	417.1134	1180.8681	237.1557	1146.5758	1129.7021	748.5594	348.3257	877.4814	186.6161	357.1106	624.9188	432.381	613.864	610.931	186.5262	1460.7352	618.4233	623.4013	209.8506	796.2914	1742.7943	824.2180000000001	517.8158	577.197	938.7675	481.26599999999996	317.3326	576.0331	400.6785	250.8156	3240.0835	583.0980000000001	721.2427	643.2841	715.304	320.2823	1235.9229	515.0912	299.1996	145.2159	371.6162	554.4695	272.1082	400.6528	399.2414	39.6677	323.6787	544.0462	1188.0007	789.6569999999999	1204.4019	209.0573	721.6787	1342.6696	6199.7936	2339.3709	460.1458	577.2373	287.3863	3589.8234	655.2894	1776.3659	484.9165	813.3306	567.1616	891.4331	2214.2699	1557.5475	1331.2845	2347.8333	1123.0333	866.5583	1569.234	770.9396	740.7053	787.4639999999999	812.9149	431.0373	158.5155	1017.6398	255.1811	242.9465	159.6051	528.2234	860.4639999999999	110.1759	1055.0318	1591.0945	1443.895	765.1618	1171.3207	513.095	3183.6118	381.7901	459.0356	4541.7098	4433.6698	562.461	220.5113	356.46	377.0716	121.4168	979.8897	83.3971	442.9205	1135.5634	155.7549	110.0818	388.5498	348.325	708.4598	2121.405	909.8091	380.1074	496.2133	454.2159	499.9916	476.0901	428.3528	233.1371	321.5079	330.0089	169.75799999999998	637.5279	757.3737	1176.5791	270.3809	2433.9915	374.3142	611.3497	533.46	991.7491	10060.3508	3055.0255	930.1878	1307.5599	1975.6327	2023.8819
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	445.1347	847.3853	495.6019	1625.8703	821.8667	324.2548	576.8568	244.6687	254.9676	272.7734	211.5749	2768.4389	897.2885	183.4459	503.2778	293.6877	325.5306	235.5358	228.8692	190.3984	110.4809	419.6317	738.3517	873.2882	1023.9467	214.5635	645.9812	699.2216	1662.6552	1074.5461	385.3176	982.5306	97.1683	604.0987	772.4244	316.5756	223.6291	315.5283	136.9673	207.5023	383.3065	319.9627	163.6811	376.3224	110.677	46.9069	466.9053	417.0388	148.3365	470.5892	1227.0666	630.7484	364.9453	92.6335	581.695	238.7267	210.0382	339.3405	310.9168	114.2658	2660.9396	394.3332	625.9946	464.8947	549.4461	120.8983	956.9242	300.4216	170.3545	112.3601	306.2561	431.9439	235.9439	278.6363	324.8552	0.0	227.6746	340.6796	822.1481	190.2241	687.7586	172.8022	467.6866	735.8993	5461.8047	1751.1398	332.1053	390.2123	161.0378	3096.1555	457.11699999999996	868.6048	301.3565	34.8872	359.3868	429.62	1601.345	1231.4371	1063.9436	1554.8902	649.4839	474.3023	1028.6624	396.1007	393.0854	608.9108	633.8259	346.0426	119.8425	841.7487	189.9865	182.0507	112.4759	413.6729	679.2679	83.66799999999999	836.4395	1279.6068	1140.7469	613.5244	906.3767	394.4417	2573.5274	278.1695	214.3067	4035.9743	4152.2573	457.958	141.5418	273.1218	244.0938	73.3971	658.3985	50.9295	333.6621	854.308	147.563	97.3698	305.9583	285.8611	554.2109	1792.8441	536.7619	257.293	333.9953	313.0419	335.7542	302.8097	137.6136	121.7411	215.3295	125.9428	91.1157	435.8547	354.8296	665.0907	180.8845	1913.3176	222.3958	405.5048	356.6539	707.0357	6183.5324	2421.1107	356.3505	698.3063	746.2487	840.9386
PWY-5863	superpathway of phylloquinol biosynthesis	2178.7339	2314.3981	374.7672	9854.2203	644.6341	241.2817	455.5445	177.2478	194.4855	215.8107	170.155	2373.0414	1427.4177	400.7975	376.6883	844.301	271.9916	200.5502	196.6532	355.7089	80.479	694.1582	660.5068	846.4875	1151.1962	560.0093	493.5093	1272.3628	1253.6514	900.2685	301.2595	803.9263	122.3187	632.3493	620.6875	398.1654	186.9455	506.9741	99.8343	191.6484	344.7668	234.6034	323.8786	328.7033	94.5095	824.9661	333.1832	332.0614	110.4925	451.786	1047.8742	461.6327	264.4335	300.7966	559.1474	255.8525	182.1328	313.7953	229.6467	129.1842	2429.8133	384.5418	515.1557	358.5385	383.156	165.3504	672.6001	272.8371	168.9622	76.0463	214.4314	349.3323	164.1451	221.5624	230.06900000000002	19.9291	167.5639	288.7455	681.3107	418.4732	843.4313	112.4212	406.7986	842.5286	4613.0958	1275.868	235.7351	303.4073	146.5309	3031.8024	344.6107	975.572	252.9624	469.713	294.8651	490.1906	1248.0292	996.6527	796.202	1286.4444	609.3821	485.4504	996.9435	406.1447	439.5249	494.6881	485.8147	283.9314	80.6047	634.1759	131.5502	123.9284	82.6575	329.3078	506.4834	56.4238	618.3322	1025.0956	823.3516	493.0707	639.002	280.1713	1885.5078	196.4686	250.1913	3463.2707	3657.7979	387.1408	112.5447	184.3937	194.102	61.4228	552.8835	42.5695	234.075	625.8792	132.3238	83.7069	293.2813	303.1647	434.0833	1363.8506	487.4807	198.2538	274.998	242.7975	277.4056	248.0223	222.1357	120.5552	167.0413	171.9191	86.2877	334.8925	397.4749	639.6299	136.7078	1622.0957	191.1335	351.3729	273.9552	529.7280000000001	6612.9874	1727.881	517.5162	740.1356	1143.7469	1150.0448
PWY-5896	superpathway of menaquinol-10 biosynthesis	652.9832	1182.0778	687.9513	2339.0946	1173.5194	448.4229	817.317	344.6737	371.9046	365.2524	281.4699	3490.2115	1270.4302	267.9876	664.5408	426.3213	475.006	330.6694	334.5144	281.63	164.5286	602.2188	1016.592	1231.6945	1414.1513	314.8373	858.0139999999999	999.5034	2231.6262	1401.9477	540.5098	1276.9589	144.1819	866.0551	1095.2403	462.339	320.9003	451.385	197.5295	303.3042	545.4922	458.4326	241.1746	542.5417	164.956	70.1005	663.6017	589.549	215.7582	665.0849	1676.404	885.4413	537.2337	138.1555	785.539	347.8616	299.2732	481.842	440.0971	169.4612	3385.0995	533.1679	815.6005	655.8958	789.9008	179.7015	1363.671	437.0743	246.4331	163.2434	438.7456	625.5563	318.3334	387.2667	457.6079	0.0	331.4153	496.3114	1148.5579	281.5518	892.7047	244.6483	648.4706	928.0026	6490.6067	2479.4568	490.5735	570.778	239.5113	3647.3424	668.3509	1253.4921	442.8135	51.9115	525.3330000000001	616.6927	2237.7425	1607.7418	1427.1338	2216.762	942.2095	680.4835	1379.5945	578.3439	561.9447	833.7292	876.9454	455.5956	177.7127	1086.326	278.4569	268.8381	166.2084	562.1177	935.5218	124.2026	1140.0197	1682.629	1488.5132	806.738	1287.9308	563.6813	3516.4665	410.1667	301.6745	4759.0015	4232.8808	607.7685	208.041	386.8709	348.0887	108.5548	923.1741	74.6147	479.6934	1209.366	195.9869	133.2053	409.6704	366.8983	722.87	2140.2856	768.9101	367.3016	468.244	435.9339	470.1118	442.4348	204.0157	180.1662	314.5144	185.8787	135.8569	636.9508	526.5628	963.2763	269.5493	2437.239	330.3099	572.7535	526.5976	1017.3216	8229.8387	3386.3646	517.6939	994.4258	1071.6644	1213.0996
PWY-5897	superpathway of menaquinol-11 biosynthesis	4123.9668	3544.0416	809.1894	13265.3269	1484.9257	524.4133	1025.9356	408.5184	474.7362	424.0186	328.8276	3864.9852	2835.3409	881.3534	719.2282	1672.7396	661.6628	409.8407	480.4705	859.5507	207.0417	1450.7965	1272.1463	1792.8077	2259.2395	1248.9852	969.4522	2562.683	2522.1356	1584.5506	569.1103	1420.9765	306.5227	1430.3019	1412.7096	946.2777	438.129	1068.0393	241.1729	458.9757	778.0772	547.0869	771.722	770.7736	243.2614	1790.2901	777.1036	772.6814	269.37	984.5817	2114.8339	1029.1485	667.8964	741.6654	1108.8589	609.5058	405.3525	719.3325	514.4971	324.3607	3850.7669	709.3087	885.0828	803.7763	908.2249	414.6935	1558.7482	654.9231	383.9909	189.0814	497.4218	755.6569999999999	344.3668	494.1568	517.4946	51.9687	413.2185	694.6876	1467.1213	1001.1399	1360.0201	269.5732	883.9376	1455.8121	6888.5971	2925.6449	596.1101	741.6901	373.9379	4087.8533	842.2529	2222.2663	624.1751	948.2679	725.5126	1106.0421	2746.1598	1843.4769	1607.3166	2947.5127	1437.318	1093.0162	1894.0228	983.6347	931.4376	978.1545	1013.0367	518.9098	206.12099999999998	1196.3131	328.4337	314.676	207.3971	652.2353	1062.4844	143.7366	1285.5631	1896.8054	1689.9097	914.8124	1473.7896	649.8936	3911.4121	494.1219	569.7626	5041.3516	4383.8111	691.3471	283.4896	444.6985	468.8572	156.9609	1210.8561	107.3069	562.855	1427.4668	205.9092	149.0915	488.2754	441.5681	832.6379	2332.0095	1137.3456	475.4263	617.9083	557.1386	616.001	610.1581	549.85	301.7007	411.7564	422.0779	221.4556	818.4561	984.82	1493.1498	352.7823	2826.3622	487.2802	764.1113	691.0942	1260.2519	11760.4004	3814.0587	1162.2539	1619.7569	2420.8558	2517.2337
PWY-5898	superpathway of menaquinol-12 biosynthesis	4123.9668	3544.0416	809.1894	13265.3269	1484.9257	524.4133	1025.9356	408.5184	474.7362	424.0186	328.8276	3864.9852	2835.3409	881.3534	719.2282	1672.7396	661.6628	409.8407	480.4705	859.5507	207.0417	1450.7965	1272.1463	1792.8077	2259.2395	1248.9852	969.4522	2562.683	2522.1356	1584.5506	569.1103	1420.9765	306.5227	1430.3019	1412.7096	946.2777	438.129	1068.0393	241.1729	458.9757	778.0772	547.0869	771.722	770.7736	243.2614	1790.2901	777.1036	772.6814	269.37	984.5817	2114.8339	1029.1485	667.8964	741.6654	1108.8589	609.5058	405.3525	719.3325	514.4971	324.3607	3850.7669	709.3087	885.0828	803.7763	908.2249	414.6935	1558.7482	654.9231	383.9909	189.0814	497.4218	755.6569999999999	344.3668	494.1568	517.4946	51.9687	413.2185	694.6876	1467.1213	1001.1399	1360.0201	269.5732	883.9376	1455.8121	6888.5971	2925.6449	596.1101	741.6901	373.9379	4087.8533	842.2529	2222.2663	624.1751	948.2679	725.5126	1106.0421	2746.1598	1843.4769	1607.3166	2947.5127	1437.318	1093.0162	1894.0228	983.6347	931.4376	978.1545	1013.0367	518.9098	206.12099999999998	1196.3131	328.4337	314.676	207.3971	652.2353	1062.4844	143.7366	1285.5631	1896.8054	1689.9097	914.8124	1473.7896	649.8936	3911.4121	494.1219	569.7626	5041.3516	4383.8111	691.3471	283.4896	444.6985	468.8572	156.9609	1210.8561	107.3069	562.855	1427.4668	205.9092	149.0915	488.2754	441.5681	832.6379	2332.0095	1137.3456	475.4263	617.9083	557.1386	616.001	610.1581	549.85	301.7007	411.7564	422.0779	221.4556	818.4561	984.82	1493.1498	352.7823	2826.3622	487.2802	764.1113	691.0942	1260.2519	11760.4004	3814.0587	1162.2539	1619.7569	2420.8558	2517.2337
PWY-5899	superpathway of menaquinol-13 biosynthesis	4123.9668	3544.0416	809.1894	13265.3269	1484.9257	524.4133	1025.9356	408.5184	474.7362	424.0186	328.8276	3864.9852	2835.3409	881.3534	719.2282	1672.7396	661.6628	409.8407	480.4705	859.5507	207.0417	1450.7965	1272.1463	1792.8077	2259.2395	1248.9852	969.4522	2562.683	2522.1356	1584.5506	569.1103	1420.9765	306.5227	1430.3019	1412.7096	946.2777	438.129	1068.0393	241.1729	458.9757	778.0772	547.0869	771.722	770.7736	243.2614	1790.2901	777.1036	772.6814	269.37	984.5817	2114.8339	1029.1485	667.8964	741.6654	1108.8589	609.5058	405.3525	719.3325	514.4971	324.3607	3850.7669	709.3087	885.0828	803.7763	908.2249	414.6935	1558.7482	654.9231	383.9909	189.0814	497.4218	755.6569999999999	344.3668	494.1568	517.4946	51.9687	413.2185	694.6876	1467.1213	1001.1399	1360.0201	269.5732	883.9376	1455.8121	6888.5971	2925.6449	596.1101	741.6901	373.9379	4087.8533	842.2529	2222.2663	624.1751	948.2679	725.5126	1106.0421	2746.1598	1843.4769	1607.3166	2947.5127	1437.318	1093.0162	1894.0228	983.6347	931.4376	978.1545	1013.0367	518.9098	206.12099999999998	1196.3131	328.4337	314.676	207.3971	652.2353	1062.4844	143.7366	1285.5631	1896.8054	1689.9097	914.8124	1473.7896	649.8936	3911.4121	494.1219	569.7626	5041.3516	4383.8111	691.3471	283.4896	444.6985	468.8572	156.9609	1210.8561	107.3069	562.855	1427.4668	205.9092	149.0915	488.2754	441.5681	832.6379	2332.0095	1137.3456	475.4263	617.9083	557.1386	616.001	610.1581	549.85	301.7007	411.7564	422.0779	221.4556	818.4561	984.82	1493.1498	352.7823	2826.3622	487.2802	764.1113	691.0942	1260.2519	11760.4004	3814.0587	1162.2539	1619.7569	2420.8558	2517.2337
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	694.0942	359.6543	353.8421	528.6663	654.0073	238.7732	188.167	155.878	119.9342	146.2335	86.8028	5304.6743	335.9652	540.2937	360.6656	242.9786	990.2107	148.8463	1807.1638	584.0424	187.7592	636.1434	544.9732	625.3723	256.9274	286.5397	382.5247	451.3727	1241.4925	1026.4614	30.6945	1172.6257	442.2634	661.6114	525.115	666.1642	148.8259	162.5411	21.1352	348.3565	789.7907	364.792	854.0588	673.243	50.6639	748.1066	99.0645	302.3243	91.1471	122.6913	370.8882	317.9949	677.6958	790.7172	508.0233	421.6924	404.684	377.1317	156.114	205.3813	4798.4063	462.3021	704.0301	537.0842	175.7912	4226.0333	76.5018	459.3537	363.5666	56.2	475.5925	1117.7979	183.2697	233.7404	469.1766	119.5874	112.3321	464.4651	612.0464	556.0047	326.4122	59.6837	958.6803	1838.1849	26.3652	215.9185	293.5755	222.1681	135.6386	3737.9946	122.76100000000001	1264.4996	211.7191	285.755	817.8976	683.4271	2641.6873	848.8322	615.2404	5579.9793	781.6922	570.1753	899.675	932.2682	1201.7873	344.1962	362.651	208.688	50.7919	721.5155	132.3922	65.9616	274.3614	452.416	146.0905	0.0	195.4238	876.3147	974.3582	420.6118	105.1809	235.4062	337.4728	149.6545	936.3553	1450.2024	432.5586	194.8302	265.7186	384.0751	904.1448	853.1308	499.2413	2102.2597	1173.9914	1488.036	190.0397	238.8177	465.2789	417.9463	224.0059	570.832	313.2856	797.1191	742.2391	1547.7316	472.3988	1478.7356	403.9809	290.8631	149.4743	196.05200000000002	89.0294	139.1257	521.0947	428.4741	40.4069	1774.7078	1171.0983	350.4779	3940.6005	116.5632	9192.4365	156.5494	177.2141	85.6167	287.7918	212.1143
PWY-5913	TCA cycle VI (obligate autotrophs)	18711.7959	12123.911	5778.3166	29372.1377	8511.6452	5042.8971	5720.3785	5027.8959	11002.7012	2734.8979999999997	2093.0576	7301.8893	20922.8629	6808.4384	3322.2827	9245.2775	7545.8519	1909.2757	4248.5758	9468.6599	13060.0692	11203.5817	7916.2823	13447.868999999999	16642.2232	12136.453000000001	4269.4868	17501.4082	10768.08	6585.1268	2720.2361	5696.054	10827.9285	15158.8141	16131.4814	14882.4987	6506.4441	7400.4747	6185.5195	8108.1798	4670.5893	2470.8115	9143.1596	5409.5425	10170.4564	12619.413	10631.0525	8922.0249	4108.0426	8256.6788	10790.1753	10092.4548	16959.1774	8412.3929	5972.366999999999	8286.1313	3417.2915	6668.9984	3540.784	4457.3277	7351.8428	3067.7642	2597.1995	9143.4683	10677.5459	10600.9314	17259.9535	9219.7242	4030.2757	7106.9162	5414.6639	8302.5818	2082.6937	3641.917	4073.8376	11054.5645	11039.5549	8144.9101	10155.2755	9174.4421	5627.8494	6645.2844	6794.0248	7330.1978	22042.7354	25893.7826	25241.0885	13966.5207	12829.8434	5392.1058	5574.3585	12819.1529	4815.8002	6487.6291	17721.1551	8848.516	16850.3512	9427.249	10939.2256	28052.0888	19183.7368	11337.768999999998	9276.2587	19042.6743	6898.6794	5624.635	7154.6322	2717.4401	13568.7227	6496.558000000001	10742.5894	14340.261	6501.4386	3521.6511	6151.4857	6417.1719	2652.6632	6374.0959	10279.1971	4973.6682	15123.031	6906.9507	20279.2479	15049.4177	18535.143	15733.5087	9585.9981	2847.7395	8972.1318	11590.0961	16777.5584	12684.8745	10112.8165	9876.6737	7835.3741	13535.1256	1039.4575	707.4462	1983.9523	1115.9735	4651.8655	8076.0594	11613.3529	9255.9414	4995.8525	9539.8042	6233.7915	12259.8313	13444.162	8072.1367	9907.7866	10031.2009	8423.0748	7997.3966	29680.1402	14886.2607	15669.3513	11248.5892	14414.2946	5925.1631	18064.9376	15249.0885	37094.6282	15305.9202	4539.9575	5990.5309	8605.7829	8534.9278
PWY-5918	superpathay of heme biosynthesis from glutamate	9768.2202	1919.0747	915.7095	5636.3854	2837.1537	578.5587	1653.4162	848.3822	405.765	447.9383	299.2217	5762.4169999999995	2295.1071	3324.9798	1311.6992	1664.8292	723.9768	1168.0230000000001	350.9053	381.7095	3240.908	3494.8478	3765.8923	3206.4158	2405.5204	2114.2918	452.5165	3108.2246	2564.0541	2424.7117	960.113	2437.4949	632.2579	2772.8412	1764.0616	2904.0384	632.8203	1509.2199	377.0131	2550.1182	720.8604	1417.8451	2335.8579	826.0862	2173.5795	2669.8958	443.5677	366.7091	248.27200000000002	2505.3317	1133.4473	726.365	2411.3657	2011.6846	1556.7746	1583.0403	2127.1525	3050.8274	1231.1212	1118.5506	6021.5441	716.2879	1240.8656	410.8185	1687.6352	3666.8307	836.1517	1080.0044	2339.5935	1585.2685	2401.5641	8267.8977	197.5564	131.535	111.0736	2264.825	468.7076	1665.5074	1606.4286	417.2278	559.4634	1123.0157	1024.3978	591.3408	5944.1592	1519.8751	619.0394	342.5165	2706.8389	4465.139	1762.9677	4516.9709	1447.9892	663.8131	2199.8889	1823.8993	11203.7018	2216.2404	1828.249	16060.883999999998	9125.1679	4916.0989	5304.7138	6600.3238	1007.9061	998.9726	1352.8299	680.1512	213.9541	1335.6778	537.8247	776.4860000000001	1813.8038	862.2229	1584.2608	1510.7739	1551.4882	1848.5203	1723.8603	1014.8214	768.0369	168.2506	2022.8194	528.3924	535.8633	5586.8642	5640.8213	187.0591	712.7639999999999	333.4909	723.2614	539.2594	1502.9175	516.2621	604.317	1828.9436	87.5421	156.9517	420.0906	307.1672	600.7763	2294.2534	3602.9307	908.3773	3197.6363	901.8929	265.274	6171.9588	540.6343	1117.3642	131.3169	347.6171	2737.3769	2122.5537	12863.1451	7569.7759	591.863	3619.1657	10072.2436	1368.2622	715.117	808.8725	4165.8667	2314.8915	955.2394	1624.6972	3718.7663	2114.9299
PWY-5920	superpathway of heme biosynthesis from glycine	122.7857	392.1154	212.9348	704.4356	588.8538	255.6665	323.1519	219.021	140.4964	224.6616	162.5326	3516.1451	399.2419	43.5506	325.0769	88.2595	197.9297	117.5927	100.9333	50.9462	146.4823	305.8275	758.868	673.6823	688.5252	0.0	242.9368	312.5225	1118.3509	1379.8919	119.3736	1376.2596	52.5487	505.9445	540.2275	108.6775	140.5056	283.5786	85.8827	254.3619	328.68800000000005	312.5908	0.0	213.8488	273.3815	0.0	236.6604	111.4663	39.2282	213.9643	563.5830000000001	323.9596	85.9508	0.0	472.8385	104.5176	220.1853	82.2459	270.7459	0.0	3748.3355	375.6637	453.8821	220.7771	280.3486	19.9172	454.4927	139.8402	221.7966	0.0	346.8314	1191.1125	44.0494	0.0	51.1993	0.0	122.99600000000001	355.9976	874.9833	61.213	177.0315	0.0	520.016	115.2604	968.0887	806.9263	11.8201	68.3485	0.0	3265.2732	54.8525	1440.0097	0.0	0.0	103.9022	338.898	1421.6589	1179.4079	915.0211	1355.4917	371.9099	417.0551	884.6554	221.968	421.1993	458.8135	465.7444	266.5635	28.7444	602.7643	0.0	0.0	58.4229	396.2618	496.4832	0.0	655.5145	893.2392	967.4906	522.9146	187.4721	40.4236	518.7695	135.5315	144.7742	3383.2711	1364.3942	41.1899	0.0	65.4208	0.0	0.0	540.2508	0.0	197.208	604.9053	0.0	73.7839	219.7186	103.6834	230.2573	1314.5991	431.1848	283.4656	82.3125	162.1151	32.9947	0.0	0.0	647.4045	68.2472	0.0	1218.5663	457.9123	2795.8402	811.6835	56.2306	1915.5515	75.5571	129.8728	0.0	0.0	1229.8079	704.5901	50.2197	143.1115	1195.0035	119.3505
PWY-5941	glycogen degradation II (eukaryotic)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	372.4482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	737.2723	0.0	43.9642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.9173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	402.6789	0.0	91.9244	0.0	0.0	0.0	0.0	0.0	23.9916	0.0	35.9879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.9064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.9151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.0248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5971	palmitate biosynthesis II (bacteria and plants)	5949.8017	6527.2401	6597.2048	5404.8446	21994.1537	4454.4954	14561.0309	2470.2363	4209.7211	2349.6667	1778.9219	9762.8587	9166.7914	5974.9695	1138.6221	4506.2822	17719.7901	1448.3668	15596.8619	18862.2988	18930.0279	12879.3338	7053.855	14806.0824	7552.7565	9998.0552	1697.1705	9427.6863	19343.42	7132.4771	446.467	6309.1547	10217.4672	17001.183	11711.9648	14227.7281	6661.3918	5844.7304	1007.9957	5014.2894	12441.753999999999	9428.1337	5756.0351	13675.0984	18342.0171	16975.3344	4001.6631	5247.7227	1838.626	2888.7259999999997	6733.978	4918.6226	6056.8867	5779.7563	4194.0841	9382.3673	944.5310000000001	4219.577	1978.0037	4665.37	10002.0879	1427.3343	1990.2627	2244.8865	12148.4656	5540.8984	7221.8661	11651.9441	1030.7931	113.3899	759.363	1989.1646	487.39300000000003	831.7857	1684.0525	4927.3866	9299.4821	10493.3222	7009.5998	19235.5832	5143.4964	350.3156	3561.9117	1624.1398	1150.9563	10242.8146	8063.4956	6483.8177	22397.3577	7537.2153	10306.1031	31070.6375	18264.9644	8822.077	11800.2832	14120.4966	10093.2846	9277.6717	8530.6933	12310.2362	5011.8556	5310.1819	5643.0884	4630.2763	6582.4141	4405.5428	6237.72	2284.9157	11367.6569	5506.164000000001	6015.4174	7634.469	5788.0104	3076.3227	6246.9279	2889.6597	8758.8823	6020.8352	7302.4433	4807.7964	5744.649	6416.5831	11272.455	8379.6745	1969.059	11885.0373	14230.7234	1989.8447	1222.8842	1126.7411	856.0672	616.3104	7092.7594	722.0048	1509.2063	5490.8375	0.0	173.1864	1670.6219	485.1927	3002.7398	5736.1812	15626.0744	2275.8802	2963.7911	2771.6305	4897.6797	9729.2999	12643.9528	10561.9021	7324.8553	5493.376	6731.9402	4372.2774	13400.5361	11726.896999999999	1703.7464	11596.5833	5162.5434	1006.94	4495.9872	2724.7990000000004	16863.1116	8591.5995	12584.0674	16065.3087	25317.3327	23175.925
